fips,STATE,COUNTY,B19013_001E,B01001_001E,B25058_001E,YEAR,county.name,state.name,state.fips,county.fips
1003,1,3,42119,160354,555,2005,Baldwin,Alabama,1.0,3.0
1015,1,15,36243,109762,372,2005,Calhoun,Alabama,1.0,15.0
1043,1,43,37153,78888,378,2005,Cullman,Alabama,1.0,43.0
1049,1,49,29053,66407,317,2005,Dekalb,Alabama,1.0,49.0
1051,1,51,45802,68057,390,2005,Elmore,Alabama,1.0,51.0
1055,1,55,32507,101151,345,2005,Etowah,Alabama,1.0,55.0
1069,1,69,38063,93101,377,2005,Houston,Alabama,1.0,69.0
1073,1,73,42013,641690,496,2005,Jefferson,Alabama,1.0,73.0
1077,1,77,32081,85898,320,2005,Lauderdale,Alabama,1.0,77.0
1081,1,81,35203,118664,437,2005,Lee,Alabama,1.0,81.0
1083,1,83,38562,67771,351,2005,Limestone,Alabama,1.0,83.0
1089,1,89,50504,290875,474,2005,Madison,Alabama,1.0,89.0
1095,1,95,33722,84662,325,2005,Marshall,Alabama,1.0,95.0
1097,1,97,36402,393585,427,2005,Mobile,Alabama,1.0,97.0
1101,1,101,40401,209374,462,2005,Montgomery,Alabama,1.0,101.0
1103,1,103,41144,112005,405,2005,Morgan,Alabama,1.0,103.0
1115,1,115,48349,72100,364,2005,St. Clair,Alabama,1.0,115.0
1117,1,117,60964,169822,594,2005,Shelby,Alabama,1.0,117.0
1121,1,121,31505,76962,289,2005,Talladega,Alabama,1.0,121.0
1125,1,125,32991,160947,461,2005,Tuscaloosa,Alabama,1.0,125.0
1127,1,127,34698,69096,322,2005,Walker,Alabama,1.0,127.0
2020,2,20,61217,266281,810,2005,Anchorage,Alaska,2.0,20.0
2090,2,90,56560,83656,758,2005,Fairbanks North Star,Alaska,2.0,90.0
2170,2,170,56857,75001,758,2005,Matanuska-Susitna,Alaska,2.0,170.0
4001,4,1,23545,68070,242,2005,Apache,Arizona,4.0,1.0
4003,4,3,36027,120439,474,2005,Cochise,Arizona,4.0,3.0
4005,4,5,41184,120776,672,2005,Coconino,Arizona,4.0,5.0
4013,4,13,48711,3590804,656,2005,Maricopa,Arizona,4.0,13.0
4015,4,15,35477,185969,604,2005,Mohave,Arizona,4.0,15.0
4017,4,17,31272,106192,345,2005,Navajo,Arizona,4.0,17.0
4019,4,19,41521,902720,547,2005,Pima,Arizona,4.0,19.0
4021,4,21,41164,214319,512,2005,Pinal,Arizona,4.0,21.0
4025,4,25,40746,194928,627,2005,Yavapai,Arizona,4.0,25.0
4027,4,27,35956,175793,526,2005,Yuma,Arizona,4.0,27.0
5007,5,7,48863,184692,506,2005,Benton,Arkansas,5.0,7.0
5031,5,31,32770,84288,442,2005,Craighead,Arkansas,5.0,31.0
5045,5,45,42646,91784,471,2005,Faulkner,Arkansas,5.0,45.0
5051,5,51,31986,91690,416,2005,Garland,Arkansas,5.0,51.0
5069,5,69,31547,76258,368,2005,Jefferson,Arkansas,5.0,69.0
5119,5,119,40421,358234,506,2005,Pulaski,Arkansas,5.0,119.0
5125,5,125,48627,89380,488,2005,Saline,Arkansas,5.0,125.0
5131,5,131,33932,116426,373,2005,Sebastian,Arkansas,5.0,131.0
5143,5,143,39861,173713,494,2005,Washington,Arkansas,5.0,143.0
5145,5,145,36551,67705,356,2005,White,Arkansas,5.0,145.0
6001,6,1,61014,1421308,987,2005,Alameda,California,6.0,1.0
6007,6,7,36602,207937,660,2005,Butte,California,6.0,7.0
6013,6,13,69487,1006486,1047,2005,Contra Costa,California,6.0,13.0
6017,6,17,63147,175790,854,2005,El Dorado,California,6.0,17.0
6019,6,19,41899,858948,602,2005,Fresno,California,6.0,19.0
6023,6,23,33093,124031,561,2005,Humboldt,California,6.0,23.0
6025,6,25,35533,144523,475,2005,Imperial,California,6.0,25.0
6029,6,29,40224,724206,555,2005,Kern,California,6.0,29.0
6031,6,31,41095,121418,564,2005,Kings,California,6.0,31.0
6033,6,33,40067,63962,589,2005,Lake,California,6.0,33.0
