STATE_NAME,COUNTY_NAME,YEAR,Total Population,Worked from Home,Median Household Income,Median Rent,FIPS
Alabama,Baldwin County,2005,160354,,42119,555,01003
Alabama,Baldwin County,2006,169162,,44878,641,01003
Alabama,Baldwin County,2007,171769,,49119,653,01003
Alabama,Baldwin County,2008,174439,,52320,644,01003
Alabama,Baldwin County,2009,179878,,48487,634,01003
Alabama,Baldwin County,2010,183195,,47502,678,01003
Alabama,Baldwin County,2011,186717,,50900,679,01003
Alabama,Baldwin County,2012,190790,,48378,710,01003
Alabama,Baldwin County,2013,195540,,44874,671,01003
Alabama,Baldwin County,2014,200111,,48461,648,01003
Alabama,Baldwin County,2015,203709,,52003,728,01003
Alabama,Baldwin County,2016,208563,,56732,814,01003
Alabama,Baldwin County,2017,212628,,55342,785,01003
Alabama,Baldwin County,2018,218022,,56813,831,01003
Alabama,Baldwin County,2019,223234,,56439,898,01003
Alabama,Baldwin County,2021,239294,,63866,917,01003
Alabama,Baldwin County,2022,246435,,69914,892,01003
Alabama,Calhoun County,2005,109762,,36243,372,01015
Alabama,Calhoun County,2006,112903,,36241,379,01015
Alabama,Calhoun County,2007,113103,,37074,398,01015
Alabama,Calhoun County,2008,113419,,40056,376,01015
Alabama,Calhoun County,2009,114081,,36527,391,01015
Alabama,Calhoun County,2010,118510,,36675,411,01015
Alabama,Calhoun County,2011,117797,,39037,416,01015
Alabama,Calhoun County,2012,117296,,39169,452,01015
Alabama,Calhoun County,2013,116736,,36205,428,01015
Alabama,Calhoun County,2014,115916,,41428,428,01015
Alabama,Calhoun County,2015,115620,,42346,496,01015
Alabama,Calhoun County,2016,114611,,41687,468,01015
Alabama,Calhoun County,2017,114728,,46763,477,01015
Alabama,Calhoun County,2018,114277,,45818,534,01015
Alabama,Calhoun County,2019,113605,,48156,529,01015
Alabama,Calhoun County,2021,115972,,46524,503,01015
Alabama,Calhoun County,2022,115788,,52819,505,01015
Alabama,Cullman County,2005,78888,,37153,378,01043
Alabama,Cullman County,2006,80187,,33959,339,01043
Alabama,Cullman County,2007,80554,,39095,384,01043
Alabama,Cullman County,2008,81324,,39229,404,01043
Alabama,Cullman County,2009,81778,,36628,363,01043
Alabama,Cullman County,2010,80459,,35786,414,01043
Alabama,Cullman County,2011,80536,,40054,410,01043
Alabama,Cullman County,2012,80440,,37287,385,01043
Alabama,Cullman County,2013,80811,,39936,424,01043
Alabama,Cullman County,2014,81289,,38261,428,01043
Alabama,Cullman County,2015,82005,,37862,451,01043
Alabama,Cullman County,2016,82471,,39411,461,01043
Alabama,Cullman County,2017,82755,,45044,460,01043
Alabama,Cullman County,2018,83442,,44612,433,01043
Alabama,Cullman County,2019,83768,,50906,531,01043
Alabama,Cullman County,2021,89496,,55517,592,01043
Alabama,Cullman County,2022,90665,,63229,501,01043
Alabama,DeKalb County,2005,66407,,29053,317,01049
Alabama,DeKalb County,2006,68014,,30470,324,01049
Alabama,DeKalb County,2007,68016,,35680,319,01049
Alabama,DeKalb County,2008,68515,,34357,338,01049
Alabama,DeKalb County,2009,69380,,33057,291,01049
Alabama,DeKalb County,2010,71151,,35967,334,01049
Alabama,DeKalb County,2011,71375,,36541,361,01049
Alabama,DeKalb County,2012,71080,,38445,363,01049
Alabama,DeKalb County,2013,71013,,40876,392,01049
Alabama,DeKalb County,2014,71065,,35023,342,01049
Alabama,DeKalb County,2015,71130,,36559,372,01049
Alabama,DeKalb County,2016,70900,,35963,412,01049
Alabama,DeKalb County,2017,71617,,39373,406,01049
