STATE,COUNTY,B19013_001E_2018,B01001_001E_2018,B25058_001E_2018,B19013_001E_2019,B01001_001E_2019,B25058_001E_2019,B19013_001E_2021,B01001_001E_2021,B25058_001E_2021,B19013_001E_2022,B01001_001E_2022,B25058_001E_2022
01,003,56813,218022,831,56439,223234,898,63866.0,239294.0,917.0,69914.0,246435.0,892.0
01,015,45818,114277,534,48156,113605,529,46524.0,115972.0,503.0,52819.0,115788.0,505.0
01,043,44612,83442,433,50906,83768,531,55517.0,89496.0,592.0,63229.0,90665.0,501.0
01,049,36998,71385,435,44208,71513,373,41800.0,71813.0,448.0,49663.0,71998.0,437.0
01,051,60796,81887,621,61854,81209,669,59032.0,89304.0,649.0,71651.0,89563.0,796.0
01,055,45868,102501,492,41447,102268,471,45298.0,103162.0,528.0,57098.0,103088.0,557.0
01,069,48105,104722,555,50103,105882,533,46931.0,107458.0,609.0,56705.0,108079.0,613.0
01,073,55206,659300,687,53944,658573,689,55006.0,667820.0,770.0,61968.0,665409.0,845.0
01,077,49014,92387,435,46632,92729,461,50218.0,94043.0,586.0,59461.0,95878.0,583.0
01,081,46456,163941,645,53712,164542,655,52424.0,177218.0,759.0,58549.0,180773.0,791.0
01,083,67000,96174,502,63695,98915,543,66796.0,107517.0,613.0,84220.0,110900.0,779.0
01,089,63111,366519,706,67930,372909,720,78525.0,395211.0,846.0,80123.0,403565.0,914.0
01,095,47528,96109,507,49467,96774,443,50191.0,98228.0,507.0,52678.0,99423.0,512.0
01,097,43061,413757,633,49639,413210,639,49721.0,413073.0,700.0,54300.0,411411.0,738.0
01,101,49989,225763,661,53117,226486,682,50385.0,227434.0,711.0,57509.0,226361.0,738.0
01,103,53260,119089,536,54338,119679,518,55286.0,123668.0,500.0,62201.0,124211.0,673.0
01,115,56602,88690,634,67487,89512,797,60433.0,92748.0,602.0,70301.0,93932.0,612.0
01,117,71230,215707,884,75614,217702,911,84260.0,226902.0,1035.0,98212.0,230115.0,1107.0
01,121,40315,79828,385,50147,79978,429,45063.0,81524.0,533.0,56876.0,80704.0,514.0
01,125,54459,208911,653,52243,209355,691,56559.0,227007.0,728.0,61097.0,236780.0,772.0
01,127,47602,63711,386,46283,63521,498,,,,,,
02,020,83648,291538,1138,82716,288000,1156,86654.0,288121.0,1189.0,100751.0,287145.0,1274.0
02,090,75448,98971,1183,72065,96849,1173,72149.0,95593.0,1136.0,83519.0,95356.0,1200.0
02,170,72667,107610,948,74709,108317,975,78856.0,110686.0,1036.0,84636.0,113325.0,1152.0
04,001,30207,71818,343,30480,71887,330,40628.0,65623.0,454.0,37663.0,65432.0,402.0
04,003,50495,126770,635,48484,125922,628,56600.0,126050.0,686.0,55031.0,125663.0,748.0
04,005,61843,142854,1114,58085,143476,1176,64533.0,145052.0,1172.0,62622.0,144060.0,1177.0
04,013,65252,4410824,961,68649,4485414,1031,76247.0,4496588.0,1228.0,83747.0,4551524.0,1458.0
04,015,46060,209550,669,50179,212181,728,46616.0,217692.0,787.0,54786.0,220816.0,883.0
04,017,40463,110445,524,38897,110924,518,49449.0,108147.0,521.0,49487.0,108650.0,669.0
04,019,53464,1039073,758,56169,1047279,772,60667.0,1052030.0,867.0,64014.0,1057597.0,974.0
04,021,59058,447138,836,62057,462789,870,70993.0,449557.0,991.0,76377.0,464154.0,1340.0
04,025,48148,231993,738,53816,235099,863,57230.0,242253.0,941.0,63936.0,246191.0,1019.0
04,027,43403,212128,692,46419,213787,665,57304.0,206990.0,770.0,53994.0,207842.0,757.0
05,007,67164,272608,711,69130,279141,729,78691.0,293692.0,860.0,85917.0,302863.0,953.0
05,031,44810,108558,614,45610,110332,634,50186.0,112218.0,678.0,61871.0,113017.0,702.0
05,045,51437,124806,652,57642,126007,651,55635.0,125106.0,649.0,62993.0,127665.0,699.0
05,051,42779,99154,617,45265,99386,591,47694.0,100330.0,633.0,53145.0,100089.0,695.0
05,069,35652,68114,534,39326,66824,574,48499.0,65861.0,612.0,44584.0,64246.0,531.0
