State,County,Name,Year,Total Population,Total Worked from Home,Total With Public Assistance,Median Household Income,Median Rent
Alabama,Baldwin County,"Baldwin County, Alabama",2005,160354,,748,42119,555
Alabama,Calhoun County,"Calhoun County, Alabama",2005,109762,,1050,36243,372
Alabama,Cullman County,"Cullman County, Alabama",2005,78888,,591,37153,378
Alabama,DeKalb County,"DeKalb County, Alabama",2005,66407,,197,29053,317
Alabama,Elmore County,"Elmore County, Alabama",2005,68057,,86,45802,390
Alabama,Etowah County,"Etowah County, Alabama",2005,101151,,399,32507,345
Alabama,Houston County,"Houston County, Alabama",2005,93101,,602,38063,377
Alabama,Jefferson County,"Jefferson County, Alabama",2005,641690,7366.0,3769,42013,496
Alabama,Lauderdale County,"Lauderdale County, Alabama",2005,85898,,830,32081,320
Alabama,Lee County,"Lee County, Alabama",2005,118664,,523,35203,437
Alabama,Limestone County,"Limestone County, Alabama",2005,67771,,210,38562,351
Alabama,Madison County,"Madison County, Alabama",2005,290875,,1016,50504,474
Alabama,Marshall County,"Marshall County, Alabama",2005,84662,,562,33722,325
Alabama,Mobile County,"Mobile County, Alabama",2005,393585,,3114,36402,427
Alabama,Montgomery County,"Montgomery County, Alabama",2005,209374,,1219,40401,462
Alabama,Morgan County,"Morgan County, Alabama",2005,112005,,290,41144,405
Alabama,Shelby County,"Shelby County, Alabama",2005,169822,,96,60964,594
Alabama,St. Clair County,"St. Clair County, Alabama",2005,72100,,275,48349,364
Alabama,Talladega County,"Talladega County, Alabama",2005,76962,,222,31505,289
Alabama,Tuscaloosa County,"Tuscaloosa County, Alabama",2005,160947,,1012,32991,461
Alabama,Walker County,"Walker County, Alabama",2005,69096,,279,34698,322
Alaska,Anchorage Municipality,"Anchorage Municipality, Alaska",2005,266281,5638.0,7600,61217,810
Alaska,Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",2005,83656,,1211,56560,758
Alaska,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",2005,75001,,1204,56857,758
Arizona,Apache County,"Apache County, Arizona",2005,68070,,3036,23545,242
Arizona,Cochise County,"Cochise County, Arizona",2005,120439,,1233,36027,474
Arizona,Coconino County,"Coconino County, Arizona",2005,120776,,1194,41184,672
Arizona,Maricopa County,"Maricopa County, Arizona",2005,3590804,70153.0,23665,48711,656
Arizona,Mohave County,"Mohave County, Arizona",2005,185969,,2308,35477,604
Arizona,Navajo County,"Navajo County, Arizona",2005,106192,,2608,31272,345
Arizona,Pima County,"Pima County, Arizona",2005,902720,15542.0,8690,41521,547
Arizona,Pinal County,"Pinal County, Arizona",2005,214319,,2568,41164,512
Arizona,Yavapai County,"Yavapai County, Arizona",2005,194928,,1463,40746,627
Arizona,Yuma County,"Yuma County, Arizona",2005,175793,,1076,35956,526
Arkansas,Benton County,"Benton County, Arkansas",2005,184692,,417,48863,506
Arkansas,Craighead County,"Craighead County, Arkansas",2005,84288,,468,32770,442
Arkansas,Faulkner County,"Faulkner County, Arkansas",2005,91784,,834,42646,471
Arkansas,Garland County,"Garland County, Arkansas",2005,91690,,896,31986,416
Arkansas,Jefferson County,"Jefferson County, Arkansas",2005,76258,,790,31547,368
Arkansas,Pulaski County,"Pulaski County, Arkansas",2005,358234,,2066,40421,506
Arkansas,Saline County,"Saline County, Arkansas",2005,89380,,1687,48627,488
Arkansas,Sebastian County,"Sebastian County, Arkansas",2005,116426,,696,33932,373
Arkansas,Washington County,"Washington County, Arkansas",2005,173713,,1152,39861,494
Arkansas,White County,"White County, Arkansas",2005,67705,,504,36551,356
California,Alameda County,"Alameda County, California",2005,1421308,23566.0,16783,61014,987
California,Butte County,"Butte County, California",2005,207937,,2925,36602,660
California,Contra Costa County,"Contra Costa County, California",2005,1006486,17294.0,8708,69487,1047
California,El Dorado County,"El Dorado County, California",2005,175790,,1335,63147,854
California,Fresno County,"Fresno County, California",2005,858948,13696.0,17709,41899,602
California,Humboldt County,"Humboldt County, California",2005,124031,,1894,33093,561
California,Imperial County,"Imperial County, California",2005,144523,,2905,35533,475
California,Kern County,"Kern County, California",2005,724206,7503.0,11636,40224,555
California,Kings County,"Kings County, California",2005,121418,,2531,41095,564
California,Lake County,"Lake County, California",2005,63962,,1993,40067,589
California,Los Angeles County,"Los Angeles County, California",2005,9758886,168484.0,130748,48248,852
California,Madera County,"Madera County, California",2005,134159,,1401,46787,549
California,Marin County,"Marin County, California",2005,235609,12073.0,1558,78919,1323
California,Mendocino County,"Mendocino County, California",2005,86011,,860,41734,649
California,Merced County,"Merced County, California",2005,237278,,4035,40281,612
California,Monterey County,"Monterey County, California",2005,389004,4965.0,4057,57081,946
California,Napa County,"Napa County, California",2005,127445,,885,65260,992
California,Nevada County,"Nevada County, California",2005,97572,,893,51615,851
California,Orange County,"Orange County, California",2005,2944537,63312.0,18792,65953,1161
California,Placer County,"Placer County, California",2005,314135,,2757,62080,935
California,Riverside County,"Riverside County, California",2005,1911281,32203.0,17773,52253,823
California,Sacramento County,"Sacramento County, California",2005,1337942,25406.0,23748,51793,785
California,San Bernardino County,"San Bernardino County, California",2005,1916665,26612.0,27583,49026,817
California,San Diego County,"San Diego County, California",2005,2824259,57894.0,24338,56335,999
California,San Francisco County,"San Francisco County, California",2005,719077,24141.0,7752,57496,1068
California,San Joaquin County,"San Joaquin County, California",2005,646259,6995.0,11374,49391,755
California,San Luis Obispo County,"San Luis Obispo County, California",2005,239638,6455.0,3864,49721,936
California,San Mateo County,"San Mateo County, California",2005,689271,17688.0,2857,74546,1199
California,Santa Barbara County,"Santa Barbara County, California",2005,383393,7479.0,4328,55970,1052
California,Santa Clara County,"Santa Clara County, California",2005,1669890,31495.0,13256,76810,1145
California,Santa Cruz County,"Santa Cruz County, California",2005,240367,10335.0,1899,58640,1109
California,Shasta County,"Shasta County, California",2005,176570,,3893,42227,610
California,Solano County,"Solano County, California",2005,395426,6117.0,4406,62213,989
California,Sonoma County,"Sonoma County, California",2005,453850,13140.0,3682,58330,974
California,Stanislaus County,"Stanislaus County, California",2005,497804,7021.0,6689,47525,697
California,Sutter County,"Sutter County, California",2005,87444,,567,49913,668
California,Tulare County,"Tulare County, California",2005,404909,4426.0,6507,38722,508
California,Ventura County,"Ventura County, California",2005,782759,17149.0,5642,66859,1097
California,Yolo County,"Yolo County, California",2005,176609,2428.0,2055,50157,853
California,Yuba County,"Yuba County, California",2005,65818,,1757,37695,586
Colorado,Adams County,"Adams County, Colorado",2005,396032,,2806,50650,696
Colorado,Arapahoe County,"Arapahoe County, Colorado",2005,524207,12819.0,4911,54838,685
Colorado,Boulder County,"Boulder County, Colorado",2005,271934,,1628,57502,870
Colorado,Denver County,"Denver County, Colorado",2005,545198,12702.0,5051,42370,629
Colorado,Douglas County,"Douglas County, Colorado",2005,248950,12028.0,907,87670,862
Colorado,El Paso County,"El Paso County, Colorado",2005,550130,13767.0,5551,50714,648
Colorado,Jefferson County,"Jefferson County, Colorado",2005,519071,15370.0,4087,60944,742
Colorado,Larimer County,"Larimer County, Colorado",2005,264807,,1147,48686,692
Colorado,Mesa County,"Mesa County, Colorado",2005,126588,,2012,39487,562
Colorado,Pueblo County,"Pueblo County, Colorado",2005,147187,,2123,37305,482
Colorado,Weld County,"Weld County, Colorado",2005,223966,,1264,48763,591
Connecticut,Fairfield County,"Fairfield County, Connecticut",2005,884050,17788.0,5795,71633,921
Connecticut,Hartford County,"Hartford County, Connecticut",2005,850068,11929.0,13893,57939,661
Connecticut,Litchfield County,"Litchfield County, Connecticut",2005,187426,,1342,64544,664
Connecticut,Middlesex County,"Middlesex County, Connecticut",2005,156694,,1271,70821,742
Connecticut,New Haven County,"New Haven County, Connecticut",2005,817828,10189.0,9692,53591,716
Connecticut,New London County,"New London County, Connecticut",2005,253468,3818.0,2224,59268,732
Connecticut,Tolland County,"Tolland County, Connecticut",2005,133557,,826,73919,740
Connecticut,Windham County,"Windham County, Connecticut",2005,111660,,917,47684,610
Delaware,Kent County,"Kent County, Delaware",2005,140205,,1278,48282,557
