State,Place,Name,Year,Total Population,Total Worked from Home,Total With Public Assistance,Median Household Income,Median Rent
Alabama,Birmingham city,"Birmingham city, Alabama",2005,222154,,2411.0,27020,432.0
Alabama,Hoover city,"Hoover city, Alabama",2005,74473,,0.0,71405,684.0
Alabama,Huntsville city,"Huntsville city, Alabama",2005,158618,,858.0,44000,463.0
Alabama,Mobile city,"Mobile city, Alabama",2005,193332,,1021.0,31107,434.0
Alabama,Montgomery city,"Montgomery city, Alabama",2005,193042,,1128.0,40582,463.0
Alabama,Tuscaloosa city,"Tuscaloosa city, Alabama",2005,68006,,595.0,24257,455.0
Alaska,Anchorage municipality,"Anchorage municipality, Alaska",2005,266281,5638.0,7600.0,61217,810.0
Arizona,Avondale city,"Avondale city, Arizona",2005,61666,,484.0,53085,741.0
Arizona,Chandler city,"Chandler city, Arizona",2005,225725,4335.0,937.0,62010,765.0
Arizona,Gilbert town,"Gilbert town, Arizona",2005,178539,,203.0,76171,914.0
Arizona,Glendale city,"Glendale city, Arizona",2005,229913,,1569.0,46713,608.0
Arizona,Mesa city,"Mesa city, Arizona",2005,442445,7322.0,3133.0,44861,630.0
Arizona,Peoria city,"Peoria city, Arizona",2005,141941,,548.0,60417,913.0
Arizona,Phoenix city,"Phoenix city, Arizona",2005,1377980,23176.0,12996.0,42353,617.0
Arizona,Scottsdale city,"Scottsdale city, Arizona",2005,215933,,376.0,60057,819.0
Arizona,Surprise city,"Surprise city, Arizona",2005,91411,,263.0,53958,870.0
Arizona,Tempe city,"Tempe city, Arizona",2005,166171,,1179.0,45644,683.0
Arizona,Tucson city,"Tucson city, Arizona",2005,507362,8362.0,5983.0,34241,525.0
Arizona,Yuma city,"Yuma city, Arizona",2005,91433,,643.0,37572,555.0
Arkansas,Fayetteville city,"Fayetteville city, Arkansas",2005,58839,,428.0,37001,481.0
Arkansas,Fort Smith city,"Fort Smith city, Arkansas",2005,81054,,474.0,32271,379.0
Arkansas,Little Rock city,"Little Rock city, Arkansas",2005,176924,,928.0,39882,535.0
California,Alameda city,"Alameda city, California",2005,77058,,926.0,65758,998.0
California,Alhambra city,"Alhambra city, California",2005,76309,,519.0,47340,898.0
California,Anaheim city,"Anaheim city, California",2005,329483,3002.0,3320.0,52158,995.0
California,Antioch city,"Antioch city, California",2005,103339,,1826.0,65882,1063.0
California,Apple Valley town,"Apple Valley town, California",2005,65229,,903.0,51119,741.0
California,Arden-Arcade CDP,"Arden-Arcade CDP, California",2005,94284,,2126.0,46167,740.0
California,Bakersfield city,"Bakersfield city, California",2005,286316,3209.0,4424.0,45174,628.0
California,Baldwin Park city,"Baldwin Park city, California",2005,84812,,535.0,42432,866.0
California,Bellflower city,"Bellflower city, California",2005,78198,,1192.0,41507,858.0
California,Berkeley city,"Berkeley city, California",2005,90432,,674.0,48123,970.0
California,Buena Park city,"Buena Park city, California",2005,76062,,430.0,58057,1025.0
California,Burbank city,"Burbank city, California",2005,100053,,1038.0,51516,896.0
California,Carlsbad city,"Carlsbad city, California",2005,92998,,324.0,78037,1342.0
California,Carson city,"Carson city, California",2005,92156,,1012.0,61654,819.0
California,Chico city,"Chico city, California",2005,71298,,1158.0,32436,704.0
California,Chino Hills city,"Chino Hills city, California",2005,80897,,220.0,93133,1387.0
California,Chino city,"Chino city, California",2005,69732,,765.0,68705,1038.0
California,Chula Vista city,"Chula Vista city, California",2005,212954,,2382.0,55610,959.0
California,Citrus Heights city,"Citrus Heights city, California",2005,81824,,998.0,49636,821.0
California,Clovis city,"Clovis city, California",2005,80529,,356.0,56863,695.0
California,Compton city,"Compton city, California",2005,97833,,3145.0,39009,652.0
California,Concord city,"Concord city, California",2005,116782,,777.0,60458,973.0
California,Corona city,"Corona city, California",2005,162410,,834.0,68049,966.0
California,Costa Mesa city,"Costa Mesa city, California",2005,105333,,1654.0,53361,1236.0
California,Daly City city,"Daly City city, California",2005,93513,,406.0,59199,1172.0
California,Downey city,"Downey city, California",2005,111391,,630.0,42191,900.0
California,East Los Angeles CDP,"East Los Angeles CDP, California",2005,130766,,1408.0,31915,684.0
California,El Cajon city,"El Cajon city, California",2005,92507,,1549.0,47050,836.0
California,El Monte city,"El Monte city, California",2005,108913,,2313.0,36630,834.0
California,Elk Grove city,"Elk Grove city, California",2005,127371,,510.0,82784,1044.0
California,Escondido city,"Escondido city, California",2005,133017,,1530.0,51857,941.0
California,Fairfield city,"Fairfield city, California",2005,102642,,1124.0,60680,1010.0
California,Florence-Graham CDP,"Florence-Graham CDP, California",2005,66788,,1304.0,30248,673.0
California,Folsom city,"Folsom city, California",2005,61408,,434.0,78317,1002.0
California,Fontana city,"Fontana city, California",2005,158235,,1433.0,58481,862.0
California,Fremont city,"Fremont city, California",2005,210387,,1334.0,81582,1196.0
California,Fresno city,"Fresno city, California",2005,477251,6790.0,12977.0,37800,631.0
California,Fullerton city,"Fullerton city, California",2005,142064,,964.0,58228,1026.0
California,Garden Grove city,"Garden Grove city, California",2005,192345,,2106.0,52229,1087.0
California,Glendale city,"Glendale city, California",2005,194620,,2284.0,49750,954.0
California,Hawthorne city,"Hawthorne city, California",2005,100754,,1392.0,41629,798.0
California,Hayward city,"Hayward city, California",2005,135474,1070.0,1232.0,55649,1000.0
California,Hemet city,"Hemet city, California",2005,77076,,1150.0,32060,790.0
California,Hesperia city,"Hesperia city, California",2005,79714,,1209.0,50298,742.0
California,Huntington Beach city,"Huntington Beach city, California",2005,189451,,406.0,72141,1266.0
California,Indio city,"Indio city, California",2005,65091,,765.0,38878,652.0
California,Inglewood city,"Inglewood city, California",2005,120204,,2206.0,34962,803.0
California,Irvine city,"Irvine city, California",2005,172182,,1265.0,82827,1476.0
California,Lake Forest city,"Lake Forest city, California",2005,69305,,386.0,84081,1299.0
California,Lakewood city,"Lakewood city, California",2005,88253,,600.0,66186,1108.0
California,Lancaster city,"Lancaster city, California",2005,135225,,4182.0,44277,772.0
California,Livermore city,"Livermore city, California",2005,87054,,474.0,96632,1177.0
California,Long Beach city,"Long Beach city, California",2005,463956,8240.0,9231.0,43746,794.0
California,Los Angeles city,"Los Angeles city, California",2005,3731437,78382.0,55896.0,42667,810.0
California,Lynwood city,"Lynwood city, California",2005,69901,,1905.0,34738,714.0
California,Merced city,"Merced city, California",2005,65391,,1556.0,32791,612.0
California,Mission Viejo city,"Mission Viejo city, California",2005,90136,,225.0,90855,1355.0
California,Modesto city,"Modesto city, California",2005,202971,,3471.0,45769,737.0
California,Moreno Valley city,"Moreno Valley city, California",2005,162987,,1703.0,56111,939.0
California,Mountain View city,"Mountain View city, California",2005,69427,,633.0,75411,1202.0
California,Murrieta city,"Murrieta city, California",2005,98146,,356.0,63028,1114.0
California,Napa city,"Napa city, California",2005,73085,,533.0,57040,1060.0
California,Newport Beach city,"Newport Beach city, California",2005,82381,,459.0,97428,1556.0
California,Norwalk city,"Norwalk city, California",2005,103844,,997.0,51137,951.0
California,Oakland city,"Oakland city, California",2005,373910,6893.0,7056.0,44124,833.0
California,Oceanside city,"Oceanside city, California",2005,162259,,449.0,55382,998.0
California,Ontario city,"Ontario city, California",2005,156679,,2439.0,46344,907.0
California,Orange city,"Orange city, California",2005,137994,,988.0,69695,1107.0
California,Oxnard city,"Oxnard city, California",2005,178871,,2531.0,48952,989.0
California,Palmdale city,"Palmdale city, California",2005,145800,,3246.0,46536,845.0
California,Pasadena city,"Pasadena city, California",2005,129400,,905.0,51233,882.0
California,Pleasanton city,"Pleasanton city, California",2005,67018,,420.0,101022,1270.0
California,Pomona city,"Pomona city, California",2005,161257,,2094.0,41805,834.0
California,Rancho Cucamonga city,"Rancho Cucamonga city, California",2005,144958,,904.0,71967,1151.0
California,Redding city,"Redding city, California",2005,89362,,2431.0,42891,648.0
California,Redlands city,"Redlands city, California",2005,73548,,656.0,52111,907.0
California,Redondo Beach city,"Redondo Beach city, California",2005,61473,,157.0,85594,1268.0
California,Redwood City city,"Redwood City city, California",2005,81195,,488.0,67829,1207.0
California,Rialto city,"Rialto city, California",2005,93284,,2076.0,50446,835.0
California,Richmond city,"Richmond city, California",2005,96648,852.0,1544.0,52794,885.0
California,Riverside city,"Riverside city, California",2005,294059,4517.0,3595.0,50416,822.0
California,Roseville city,"Roseville city, California",2005,108848,,1405.0,62291,933.0
