Name,Total Population,Total Worked from Home,Total With Public Assistance,Median Household Income,Median Rent,Year
Alabama,4442558,43419,24885,36879,394,2005
Alaska,641724,12067,15346,56234,764,2005
Arizona,5829839,104022,49906,44282,621,2005
Arkansas,2701431,31252,18677,34999,399,2005
California,35278768,662513,415990,53629,894,2005
Colorado,4562244,137031,38661,50652,665,2005
Connecticut,3394751,54183,35960,60941,719,2005
Delaware,818587,14552,7408,52499,676,2005
District of Columbia,515118,11110,11329,47221,768,2005
Florida,17382511,279325,112274,42433,692,2005
Georgia,8821142,145988,59649,45604,573,2005
Hawaii,1238158,26676,14875,58112,911,2005
Idaho,1395634,32339,13942,41443,510,2005
Illinois,12440351,194830,106301,50260,635,2005
Indiana,6093372,86567,63076,43993,500,2005
Iowa,2862541,63634,34136,43609,442,2005
Kansas,2662616,52694,26350,42920,460,2005
Kentucky,4058633,49002,37976,37369,419,2005
Louisiana,4389747,42461,33605,36729,429,2005
Maine,1283673,29303,26445,42801,544,2005
Maryland,5461318,100492,39631,61592,787,2005
Massachusetts,6182860,102723,59519,57184,799,2005
Michigan,9865583,136779,125081,46039,551,2005
Minnesota,4989848,121278,62065,52024,635,2005
Mississippi,2824156,22042,28121,32938,388,2005
Missouri,5631910,97176,58434,41974,460,2005
Montana,910651,27148,8564,39301,463,2005
Nebraska,1706976,39489,19718,43849,462,2005
Nevada,2381281,33901,17616,49169,747,2005
New Hampshire,1272486,28213,13198,56768,757,2005
New Jersey,8521427,120790,65117,61672,837,2005
New Mexico,1887200,39637,22917,37492,501,2005
New York,18655275,291801,241093,49480,735,2005
North Carolina,8411041,124086,62277,40729,496,2005
North Dakota,609645,17244,5250,41030,422,2005
Ohio,11155606,155538,119372,43493,492,2005
Oklahoma,3433496,50613,51270,37063,418,2005
Oregon,3560109,85768,39835,42944,605,2005
Pennsylvania,11979147,171801,155961,44537,523,2005
Puerto Rico,3865280,20627,67471,17184,299,2005
Rhode Island,1032662,13924,11117,51458,675,2005
South Carolina,4113961,44577,24944,39316,476,2005
South Dakota,746033,23233,7477,40310,409,2005
Tennessee,5810590,73541,67372,38874,469,2005
Texas,22270165,331556,154305,42139,545,2005
Utah,2427350,54103,17571,47934,585,2005
Vermont,602290,17384,10412,45686,590,2005
Virginia,7332608,126001,53531,54240,677,2005
Washington,6146338,132979,92343,49262,659,2005
West Virginia,1771750,20722,15332,33452,369,2005
Wisconsin,5375751,104037,37744,47105,544,2005
Wyoming,495226,14634,3433,46202,460,2005
Alabama,4599030,48924,29483,38783,410,2006
Alaska,670053,16054,14381,59393,813,2006
Arizona,6166318,123935,42791,47265,658,2006
Arkansas,2810872,39966,20278,36599,407,2006
California,36457549,779046,384067,56645,941,2006
Colorado,4753377,137130,31543,52015,674,2006
Connecticut,3504809,59475,28281,63422,750,2006
Delaware,853476,10398,7047,52833,712,2006
District of Columbia,581530,11498,9908,51847,822,2006
Florida,18089889,326298,91274,45495,738,2006
Georgia,9363941,182533,46740,46832,586,2006
Hawaii,1285498,27162,15228,61160,1010,2006
Idaho,1466465,33874,13605,42865,529,2006
Illinois,12831970,218219,85212,52006,652,2006
Indiana,6313520,94258,62098,45394,510,2006
Iowa,2982085,71493,34141,44491,458,2006
Kansas,2764075,59451,26526,45478,466,2006
Kentucky,4206074,58981,35791,39372,433,2006
Louisiana,4287768,39698,40833,39337,456,2006
Maine,1321574,31592,23521,43439,548,2006
Maryland,5615727,102616,40984,65144,830,2006
Massachusetts,6437193,113918,60358,59963,823,2006
Michigan,10095643,152516,124461,47182,559,2006
Minnesota,5167101,131054,63305,54023,636,2006
Mississippi,2910540,24199,27848,34473,406,2006
Missouri,5842713,113016,48590,42841,466,2006
Montana,944632,30792,6453,40627,467,2006
Nebraska,1768331,45325,17382,45474,482,2006
Nevada,2495529,37455,16192,52998,786,2006
New Hampshire,1314895,29328,13321,59683,766,2006
New Jersey,8724560,133940,64343,64470,869,2006
New Mexico,1954599,39354,15815,40629,516,2006
New York,19306183,331806,218162,51384,765,2006
North Carolina,8856505,146489,55469,42625,516,2006
North Dakota,635867,19182,6056,41919,434,2006
Ohio,11478006,163769,117520,44532,498,2006
