Name,Total Population,Total Worked from Home,Total With Public Assistance,Median Household Income,Median Rent,Year
United States,288378137,4796178,2837411,46242,614,2005
United States,299398485,5411108,2624441,48451,636,2006
United States,301621159,5676622,2411238,50740,661,2007
United States,304059728,5897422,2638470,52029,687,2008
United States,307006556,5918170,3009319,50221,702,2009
United States,309349689,5924200,3276261,50046,713,2010
United States,311591919,5994129,3309517,50502,727,2011
United States,313914040,6143943,3341535,51371,746,2012
United States,316128839,6229012,3272133,52250,766,2013
United States,318857056,6542582,3114615,53657,786,2014
United States,321418821,6842982,2993256,55775,812,2015
United States,323127515,7591793,2912484,57617,841,2016
United States,325719178,7994319,2793595,60336,868,2017
United States,327167439,8251855,2779060,61937,899,2018
United States,328239523,8970800,2678217,65712,941,2019
United States,331893745,27568098,4282321,69717,1037,2021
United States,333287562,24381732,3300524,74755,1128,2022
United States,334914896,22486510,3093855,77719,1220,2023
United States,340110990,22026371,3269400,81604,1307,2024
